user_id,product_id,interaction_type,rating,timestamp
USER0103,PROD0213,view,,2025-10-11 18:53:32
USER0376,PROD0392,view,5.0,2025-02-27 18:53:32
USER0076,PROD0040,view,5.0,2025-08-11 18:53:32
USER0677,PROD0012,cart,,2025-09-12 18:53:32
USER0559,PROD0133,cart,,2025-02-01 18:53:32
USER0054,PROD0012,view,,2025-09-20 18:53:32
USER0881,PROD0428,cart,3.0,2025-01-26 18:53:32
USER0677,PROD0400,view,,2025-07-31 18:53:32
USER0130,PROD0044,cart,4.0,2025-06-24 18:53:32
USER0058,PROD0180,cart,5.0,2025-09-07 18:53:32
USER0160,PROD0362,cart,4.0,2025-04-20 18:53:32
USER0493,PROD0152,view,,2025-06-21 18:53:32
USER0227,PROD0236,cart,4.0,2025-08-05 18:53:32
USER0764,PROD0063,view,4.0,2025-10-13 18:53:32
USER0567,PROD0069,view,,2026-01-13 18:53:32
USER0571,PROD0167,view,,2025-10-07 18:53:32
USER0169,PROD0243,purchase,,2025-06-06 18:53:32
USER0069,PROD0027,purchase,3.0,2025-03-16 18:53:32
USER0260,PROD0076,view,,2025-12-20 18:53:32
USER0527,PROD0089,purchase,,2025-03-07 18:53:32
USER0185,PROD0216,purchase,,2025-12-29 18:53:32
USER0219,PROD0094,cart,5.0,2025-10-06 18:53:32
USER0905,PROD0091,cart,3.0,2025-10-16 18:53:32
USER0362,PROD0464,view,,2025-03-15 18:53:32
USER0914,PROD0486,purchase,,2025-12-16 18:53:32
USER0400,PROD0087,view,,2025-01-23 18:53:32
USER0779,PROD0199,view,,2025-11-20 18:53:32
USER0071,PROD0275,view,,2025-03-29 18:53:32
USER0440,PROD0443,purchase,5.0,2025-07-14 18:53:32
USER0079,PROD0259,view,,2026-01-04 18:53:32
USER0627,PROD0350,view,3.0,2025-02-09 18:53:32
USER0920,PROD0366,view,5.0,2025-08-06 18:53:32
USER0738,PROD0074,view,5.0,2026-01-03 18:53:32
USER0144,PROD0087,cart,3.0,2025-04-12 18:53:32
USER0863,PROD0112,cart,,2025-10-21 18:53:32
USER0012,PROD0091,view,5.0,2025-05-18 18:53:32
USER0292,PROD0106,view,5.0,2025-12-20 18:53:32
USER0554,PROD0336,view,3.0,2025-01-25 18:53:32
USER0257,PROD0409,view,,2025-11-20 18:53:32
USER0677,PROD0474,cart,4.0,2025-06-23 18:53:32
USER0092,PROD0051,purchase,,2025-09-04 18:53:32
USER0656,PROD0064,view,5.0,2025-09-06 18:53:32
USER0839,PROD0011,purchase,3.0,2025-02-18 18:53:32
USER0213,PROD0174,cart,5.0,2025-05-16 18:53:32
USER0442,PROD0051,cart,3.0,2025-08-12 18:53:32
USER0800,PROD0437,view,5.0,2025-07-27 18:53:32
USER0625,PROD0013,cart,5.0,2025-12-22 18:53:32
USER0640,PROD0266,purchase,,2025-03-04 18:53:32
USER0447,PROD0048,view,5.0,2025-01-21 18:53:32
USER0031,PROD0480,view,,2025-02-04 18:53:32
USER0855,PROD0299,cart,5.0,2025-11-24 18:53:32
USER0762,PROD0010,cart,5.0,2025-04-08 18:53:32
USER0132,PROD0232,purchase,5.0,2025-07-12 18:53:32
USER0605,PROD0018,purchase,4.0,2025-01-20 18:53:32
USER0322,PROD0019,cart,4.0,2025-06-27 18:53:32
USER0090,PROD0312,view,,2025-07-07 18:53:32
USER0065,PROD0274,cart,,2025-12-01 18:53:32
USER0028,PROD0187,purchase,3.0,2025-09-12 18:53:32
USER0112,PROD0470,view,,2025-02-26 18:53:32
USER0270,PROD0494,cart,4.0,2025-02-15 18:53:32
USER0358,PROD0441,purchase,,2025-08-17 18:53:32
USER0069,PROD0299,view,3.0,2025-05-20 18:53:32
USER0295,PROD0023,view,,2025-05-07 18:53:32
USER0109,PROD0339,view,,2025-02-03 18:53:32
USER0034,PROD0401,view,3.0,2025-10-03 18:53:32
USER0394,PROD0039,cart,5.0,2025-08-07 18:53:32
USER0957,PROD0223,view,,2025-08-23 18:53:32
USER0783,PROD0207,cart,,2025-03-01 18:53:32
USER0639,PROD0312,view,3.0,2025-05-01 18:53:32
USER0960,PROD0121,view,,2025-07-20 18:53:32
USER0523,PROD0216,cart,5.0,2025-06-25 18:53:32
USER0599,PROD0290,purchase,3.0,2025-12-15 18:53:32
USER0233,PROD0110,view,,2025-08-25 18:53:32
USER0213,PROD0211,view,5.0,2025-06-28 18:53:32
USER0811,PROD0291,cart,4.0,2025-01-19 18:53:32
USER0144,PROD0310,purchase,3.0,2025-07-20 18:53:32
USER0234,PROD0039,purchase,,2025-09-20 18:53:32
USER0224,PROD0028,cart,,2025-09-10 18:53:32
USER0791,PROD0439,cart,3.0,2025-02-27 18:53:32
USER0164,PROD0465,view,5.0,2025-06-07 18:53:32
USER0414,PROD0318,cart,,2025-02-25 18:53:32
USER0244,PROD0165,view,,2025-09-13 18:53:32
USER0819,PROD0183,cart,,2025-03-22 18:53:32
USER0321,PROD0310,cart,4.0,2025-03-15 18:53:32
USER0420,PROD0020,view,4.0,2025-01-19 18:53:32
USER0092,PROD0274,view,,2025-10-12 18:53:32
USER0169,PROD0365,cart,,2025-12-29 18:53:32
USER0451,PROD0462,view,4.0,2025-03-26 18:53:32
USER0903,PROD0479,cart,3.0,2025-03-22 18:53:32
USER0668,PROD0287,view,5.0,2025-03-19 18:53:32
USER0350,PROD0349,view,3.0,2025-09-03 18:53:32
USER0200,PROD0216,view,,2025-08-14 18:53:32
USER0936,PROD0096,cart,,2025-02-03 18:53:32
USER0415,PROD0389,view,3.0,2025-10-02 18:53:32
USER0686,PROD0238,cart,4.0,2025-08-03 18:53:32
USER0057,PROD0279,view,5.0,2025-02-08 18:53:32
USER0899,PROD0171,cart,,2025-06-03 18:53:32
USER0701,PROD0077,view,4.0,2025-05-11 18:53:32
USER0691,PROD0311,view,,2025-03-16 18:53:32
USER0860,PROD0254,cart,5.0,2025-03-04 18:53:32
USER0475,PROD0299,purchase,3.0,2025-07-19 18:53:32
USER0122,PROD0458,cart,4.0,2025-08-26 18:53:32
USER0937,PROD0181,view,,2025-05-29 18:53:32
USER0820,PROD0439,view,3.0,2025-09-25 18:53:32
USER0177,PROD0391,view,,2025-01-16 18:53:32
USER0960,PROD0311,purchase,3.0,2025-02-08 18:53:32
USER0673,PROD0344,view,,2025-05-01 18:53:32
USER0532,PROD0156,view,,2025-10-19 18:53:32
USER0467,PROD0364,view,,2025-02-06 18:53:32
USER0904,PROD0142,view,,2025-10-12 18:53:32
USER0906,PROD0085,purchase,5.0,2025-06-01 18:53:32
USER0835,PROD0162,view,,2025-04-08 18:53:32
USER0297,PROD0100,view,5.0,2025-02-06 18:53:32
USER0949,PROD0082,view,,2025-05-25 18:53:32
USER0990,PROD0275,cart,5.0,2025-12-29 18:53:32
USER0991,PROD0398,view,5.0,2025-12-10 18:53:32
USER0153,PROD0193,purchase,,2025-08-01 18:53:32
USER0596,PROD0082,view,,2025-07-09 18:53:32
USER0215,PROD0330,view,,2025-03-02 18:53:32
